service_id,date,exception_type
120241102,20241102,1
120241103,20241103,1
120241104,20241104,1
120241105,20241105,1
120241106,20241106,1
120241107,20241107,1
120241108,20241108,1
120241109,20241109,1
120241110,20241110,1
120241111,20241111,1
120241112,20241112,1
120241113,20241113,1
120241114,20241114,1
120241115,20241115,1
120241116,20241116,1
220241102,20241102,1
220241103,20241103,1
220241104,20241104,1
220241105,20241105,1
220241106,20241106,1
220241107,20241107,1
220241108,20241108,1
220241109,20241109,1
220241110,20241110,1
220241111,20241111,1
220241112,20241112,1
220241113,20241113,1
220241114,20241114,1
220241115,20241115,1
220241116,20241116,1
1820241102,20241102,1
1820241103,20241103,1
1820241104,20241104,1
1820241105,20241105,1
1820241106,20241106,1
1820241107,20241107,1
1820241108,20241108,1
1820241109,20241109,1
1820241110,20241110,1
1820241111,20241111,1
1820241112,20241112,1
1820241113,20241113,1
1820241114,20241114,1
1820241115,20241115,1
1820241116,20241116,1
